,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
0,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.593116374542543,30.06294304435414,30.532769714165735
1,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,23.180559566218054,1523.180559566218,3023.180559566218
2,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,30.28937219173602,31.58703999630886,32.8847078008817
3,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.11692751692063,45.14094198348972,45.1649564500588
4,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.54957456323796,45.00661204201638,45.463649520794796
5,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,31.26135017503659,32.406365848277105,33.55138152151763
6,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.592561283307624,30.112340795415157,30.63212030752269
7,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,24.715886679874632,26.34502421089497,27.974161741915303
8,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.494998342581773,29.996013813697783,30.49702928481379
9,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.252386458359595,45.271940472999916,45.291494487640236
10,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.04756751365133,45.07771859878906,45.1078696839268
11,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.662096355492086,30.11082293198588,30.55954950847967
12,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.662218909161297,27.822107597923473,27.98199628668565
13,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,48.337645919708116,48.4468354078351,48.55602489596209
14,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.599547234854317,30.119286402351836,30.639025569849355
15,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,46.60923568025136,46.68431803528341,46.75940039031546
16,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.30280135496631,45.61396785962678,45.925134364287246
17,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,56.44160398343543,82.14797143966402,107.8543388958926
18,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,47.082208533877214,47.185322319911066,47.288436105944925
19,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,46.066673808113805,46.081673808113806,46.096673808113806
20,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,28.542642718830898,29.984712343119575,31.426781967408257
21,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.59434283928747,45.11146565622471,45.62858847316194
22,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.168946696049343,29.629800644241904,30.09065459243447
23,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.311879956070726,29.80495747712441,30.298034998178096
24,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.19202938948777,45.207705649529956,45.22338190957213
25,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,24.628704053066553,26.10081324675229,27.572922440438024
26,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.757673474955634,30.998388663245386,32.239103851535134
27,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.651968320106597,30.154400190150394,30.65683206019419
28,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,25.106023420300204,26.64869837961216,28.191373338924116
29,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.970458202223,45.23220059319556,45.49394298416812
30,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.196392247639416,45.21139224763942,45.22639224763942
31,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.17337150340266,29.634802385673648,30.096233267944637
32,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.083592464179105,45.11001082552934,45.136429186879575
33,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.38615607996771,45.562477471580465,45.73879886319321
34,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.647129402392643,30.215958835195423,30.784788267998206
35,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,31.546428733269266,32.639791776011606,33.73315481875395
36,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.03613509271477,45.07805270498125,45.119970317247734
37,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,25.39520793919627,1525.395207939196,3025.395207939196
38,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,26.575720765046526,28.119114063981897,29.662507362917264
39,3.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.30949763454365,29.807612778513636,30.30572792248362
40,4.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,26.057786473916526,1526.0577864739166,3026.0577864739166
