,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
0,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,60.74842333472981,1560.74842333473,3060.74842333473
1,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.164162559380976,45.275891695732824,55.387620832084664
2,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.9238747178488,35.9535137696389,35.983152821429
3,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,37.68907220100633,68.85085378502103,100.01263536903572
4,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.11325725789041,35.2916357560218,35.470014254153185
5,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.61668994689119,36.508308622975406,37.39992729905962
6,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.91433464053617,32.95846918194023,33.0026037233443
7,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,37.211015556431484,38.45219922519456,39.69338289395764
8,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,37.15810726575347,38.21997142663365,39.281835587513825
9,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.089164272875486,35.10416427287549,35.11916427287549
10,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.82497774098808,33.07536270240301,33.32574766381795
11,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,38.73670797846426,1538.7367079784644,3038.7367079784644
12,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.41938616583302,34.514070468050136,34.60875477026726
13,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,35.99765145255604,36.20420745891329,36.41076346527053
14,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,41.3549741682962,1541.3549741682964,3041.3549741682964
15,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,28.209892142061236,31.688837513644827,35.16778288522842
16,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,32.8384224040681,32.8534224040681,32.8684224040681
17,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.56066518119977,42.37910440308278,50.197543624965796
18,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,51.90848410737265,1551.9084841073727,3051.9084841073727
19,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.608540212118434,1534.6085402121184,3034.6085402121184
20,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,33.386850044242074,73.4681329461313,113.54941584802054
21,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,34.058628437956294,34.13193843228099,34.20524842660568
