,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
0,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.763987554821426,44.77898755482143,44.79398755482143
1,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,46.03645779124696,46.12688174454319,46.21730569783942
2,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,49.91981553045056,66.02999173234349,82.14016793423642
3,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.67714583677078,44.94267954366491,45.208213250559034
4,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.64210928607496,30.219265698732357,30.79642211138976
5,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.569665809075403,30.103360861699898,30.637055914324396
6,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,46.44394821606378,46.55592836538007,46.66790851469635
7,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,48.19301852948559,59.54684106235683,70.90066359522808
8,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,47.0160559162895,47.04133275585734,47.066609595425184
9,0.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.510958359796145,30.07504189651158,30.639125433227008
10,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.30712874140259,44.32984484390293,44.35256094640328
11,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,46.06709816279685,46.181553879617994,46.29600959643914
12,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.88141183363931,45.95884208393393,46.036272334228556
13,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.05283253756969,28.497418370641377,29.94200420371306
14,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,44.8039898183846,44.94145853648138,45.07892725457815
15,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.575329780242637,30.133676334902965,30.692022889563297
16,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.57663560766887,30.14424294186541,30.711850276061952
17,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.574512253120453,30.137507259238788,30.70050226535712
18,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,26.132647531092022,27.321477146289983,28.510306761487943
19,1.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.64815323454018,30.231984382583967,30.815815530627756
20,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,45.377842285486,45.44027906729019,45.50271584909438
21,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,27.782261753399624,27.946133959324044,28.110006165248464
22,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.319655997009857,29.82053410501851,30.32141221302716
23,2.0,8.0,8.0,8.0,8.0,8.0,inf,inf,inf,inf,29.437525571066324,29.977169218420535,30.516812865774746
